Intrinsic parameters: [a11] ... [a33] 
1298.035552	0.000000	968.392428	0.000000	1294.199332	628.549138	0.000000	0.000000	1.000000	

Extrinsic parameters : [r11] ... [r33][t1][t2][t3] 
[Image 36] 0.645740	0.156610	-0.747324	0.526992	-0.799663	0.287781	-0.552538	-0.579666	-0.598907	-2.057037	2.808185	20.628408	
[Image 37] 0.927785	0.091620	-0.361693	-0.075091	-0.903699	-0.421532	-0.365482	0.418251	-0.831558	-3.851832	3.573250	13.182664	
[Image 38] 0.811329	0.143936	-0.566592	-0.114850	-0.911080	-0.395907	-0.573196	0.386284	-0.722655	-4.170931	3.737656	14.214107	
[Image 39] 0.928606	-0.096319	0.358349	-0.022479	-0.978552	-0.204770	0.370387	0.182095	-0.910854	-2.335670	3.541422	21.320846	
[Image 40] 0.923336	-0.095402	0.371953	0.073990	-0.906292	-0.416126	0.376797	0.411745	-0.829753	-2.623305	5.715313	24.188492	
[Image 41] 0.869683	-0.127157	0.476951	-0.011206	-0.971087	-0.238461	0.493483	0.202041	-0.845963	-1.859370	4.372235	23.460127	
[Image 42] 0.910755	-0.102929	0.399915	0.078417	-0.907708	-0.412209	0.405434	0.406782	-0.818628	-1.923662	3.092510	10.852139	
[Image 43] 0.784859	-0.155551	0.599834	0.117500	-0.913064	-0.390523	0.608433	0.376987	-0.698349	-1.778690	3.082707	10.954210	
[Image 44] 0.848398	-0.132677	0.512462	0.103778	-0.907609	-0.406788	0.519087	0.398300	-0.756244	-1.801485	5.969595	24.670071	
[Image 45] 0.698725	-0.179797	0.692428	-0.038681	-0.975981	-0.214393	0.714344	0.123018	-0.688897	-1.607936	3.497024	21.985865	
[Image 46] 0.644577	-0.192211	0.739984	-0.038139	-0.974760	-0.219973	0.763588	0.113567	-0.635638	-1.338115	3.608988	21.191150	
[Image 47] 0.642134	-0.193953	0.741651	0.128094	-0.926716	-0.353255	0.755815	0.321838	-0.570231	0.217834	4.733079	22.231770	
[Image 48] 0.632363	-0.196673	0.749291	-0.011409	-0.969495	-0.244844	0.774588	0.146282	-0.615317	-0.675283	4.552165	12.030405	
[Image 49] 0.602347	-0.198093	0.773264	0.155078	-0.921220	-0.356797	0.783025	0.334832	-0.524175	-0.574154	3.337305	12.131166	
